Title,Author,Genre,Rating,Description,URL
Pride and Prejudice,Jane Austen,Classic,4.8,A romantic novel that critiques the British landed gentry at the end of the 18th century.,https://www.gutenberg.org/ebooks/1342
Moby-Dick,Herman Melville,Classic,4.5,"The narrative of Captain Ahab's obsessive quest to kill the white whale, Moby Dick.",https://www.gutenberg.org/ebooks/2701
Great Expectations,Charles Dickens,Classic,4.6,The story of the orphan Pip and his growth and personal development.,https://www.gutenberg.org/ebooks/1400
War and Peace,Leo Tolstoy,Classic,4.7,A historical novel that chronicles the French invasion of Russia.,https://www.gutenberg.org/ebooks/2600
Jane Eyre,Charlotte Brontë,Classic,4.8,"The experiences of the orphaned Jane Eyre, including her growth to adulthood.",https://www.gutenberg.org/ebooks/1260
The Great Gatsby,F. Scott Fitzgerald,Classic,4.4,A critique of the American Dream through the story of Jay Gatsby.,https://www.gutenberg.org/ebooks/64317
Crime and Punishment,Fyodor Dostoevsky,Classic,4.7,The mental anguish and moral dilemmas of an impoverished ex-student.,https://www.gutenberg.org/ebooks/2554
Wuthering Heights,Emily Brontë,Classic,4.5,A tale of passion and revenge on the Yorkshire moors.,https://www.gutenberg.org/ebooks/768
The Odyssey,Homer,Classic,4.6,The epic journey of Odysseus returning home after the Trojan War.,https://www.gutenberg.org/ebooks/1727
The Scarlet Letter,Nathaniel Hawthorne,Classic,4.4,"A story of sin, guilt, and redemption in Puritan Massachusetts.",https://www.gutenberg.org/ebooks/25344
The Hobbit,J.R.R. Tolkien,Fantasy,4.8,Bilbo Baggins' unexpected journey to win a share of treasure guarded by a dragon.,https://www.gutenberg.org/ebooks/65456
Alice's Adventures in Wonderland,Lewis Carroll,Fantasy,4.7,Alice's adventures after falling through a rabbit hole into a fantasy world.,https://www.gutenberg.org/ebooks/11
The Wonderful Wizard of Oz,L. Frank Baum,Fantasy,4.6,Dorothy's journey in the magical land of Oz.,https://www.gutenberg.org/ebooks/55
Peter Pan,J.M. Barrie,Fantasy,4.5,The adventures of Peter Pan and the Darling children in Neverland.,https://www.gutenberg.org/ebooks/16
A Princess of Mars,Edgar Rice Burroughs,Fantasy,4.4,John Carter's adventures on Mars among alien races.,https://www.gutenberg.org/ebooks/62
The Time Machine,H.G. Wells,Fantasy,4.5,A scientist's journey into the distant future using his time machine.,https://www.gutenberg.org/ebooks/35
The Chronicles of Narnia,C.S. Lewis,Fantasy,4.7,The adventures of children in the magical land of Narnia.,https://www.gutenberg.org/ebooks/651
The King of Elfland's Daughter,Lord Dunsany,Fantasy,4.4,A tale of the marriage between a mortal prince and an elf princess.,https://www.gutenberg.org/ebooks/708
Phantastes,George MacDonald,Fantasy,4.3,A young man's journey through a dreamlike fairyland.,https://www.gutenberg.org/ebooks/325
The Princess and the Goblin,George MacDonald,Fantasy,4.5,Princess Irene's adventures with goblins and her friend Curdie.,https://www.gutenberg.org/ebooks/708
Pride and Prejudice,Jane Austen,Romance,4.8,A romantic novel that critiques the British landed gentry at the end of the 18th century.,https://www.gutenberg.org/ebooks/1342
Jane Eyre,Charlotte Brontë,Romance,4.8,"The experiences of the orphaned Jane Eyre, including her growth to adulthood.",https://www.gutenberg.org/ebooks/1260
Wuthering Heights,Emily Brontë,Romance,4.5,A tale of passion and revenge on the Yorkshire moors.,https://www.gutenberg.org/ebooks/768
Emma,Jane Austen,Romance,4.6,The story of Emma Woodhouse's misguided matchmaking efforts.,https://www.gutenberg.org/ebooks/158
Sense and Sensibility,Jane Austen,Romance,4.7,The Dashwood sisters navigate love and heartbreak.,https://www.gutenberg.org/ebooks/161
Persuasion,Jane Austen,Romance,4.6,Anne Elliot's second chance at love with Captain Wentworth.,https://www.gutenberg.org/ebooks/105
North and South,Elizabeth Gaskell,Romance,4.5,Margaret Hale's experiences in the industrial town of Milton.,https://www.gutenberg.org/ebooks/4276
The Age of Innocence,Edith Wharton,Romance,4.4,A story of love and societal expectations in 1870s New York.,https://www.gutenberg.org/ebooks/541
Anna Karenina,Leo Tolstoy,Romance,4.7,The tragic love affair between Anna Karenina and Count Vronsky.,https://www.gutenberg.org/ebooks/1399
Far from the Madding Crowd,Thomas Hardy,Romance,4.5,Bathsheba Everdene's relationships with three different men.,https://www.gutenberg.org/ebooks/107
1984,George Orwell,Science Fiction,4.7,A dystopian social science fiction novel and cautionary tale about the dangers of totalitarianism.,https://www.gutenberg.org/ebooks/12345
Brave New World,Aldous Huxley,Science Fiction,4.6,A futuristic society driven by technology and controlled by conditioning and a rigid caste system.,https://www.gutenberg.org/ebooks/12346
Dune,Frank Herbert,Science Fiction,4.8,"A complex epic of politics, religion, and ecology on the desert planet Arrakis.",https://www.gutenberg.org/ebooks/12347
The Hound of the Baskervilles,Arthur Conan Doyle,Mystery/Thriller,4.8,Sherlock Holmes and Dr. Watson investigate the mystery of a legendary hound haunting a family estate.,https://www.gutenberg.org/ebooks/2852
Gone Girl,Gillian Flynn,Mystery/Thriller,4.5,A thrilling exploration of a troubled marriage and a wife gone missing.,https://www.gutenberg.org/ebooks/12348
The Hobbit,J.R.R. Tolkien,Fantasy,4.9,Bilbo Baggins embarks on an epic quest to recover treasure from the dragon Smaug.,https://www.gutenberg.org/ebooks/12349
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,4.8,"Harry discovers he is a wizard and attends Hogwarts, uncovering secrets about his past.",https://www.gutenberg.org/ebooks/12350
The Book Thief,Markus Zusak,Historical Fiction,4.8,A story of a young girl in Nazi Germany who steals books to cope with the horrors of war.,https://www.gutenberg.org/ebooks/12351
All the Light We Cannot See,Anthony Doerr,Historical Fiction,4.9,The intertwined lives of a blind French girl and a German soldier during WWII.,https://www.gutenberg.org/ebooks/12352
The Picture of Dorian Gray,Oscar Wilde,Classic,4.7,"A tale of aestheticism, moral duplicity, and the pursuit of pleasure.",https://www.gutenberg.org/ebooks/174
Wuthering Heights,Emily Brontë,Classic,4.6,The dark romance of Catherine and Heathcliff on the Yorkshire moors.,https://www.gutenberg.org/ebooks/768
Dracula,Bram Stoker,Classic,4.5,The iconic Gothic horror novel that introduced Count Dracula.,https://www.gutenberg.org/ebooks/345
Foundation,Isaac Asimov,Science Fiction,4.8,The fall of a Galactic Empire and the efforts to preserve human knowledge.,https://www.gutenberg.org/ebooks/5678
Neuromancer,William Gibson,Science Fiction,4.6,A hacker is hired for a heist in a cyberpunk future.,https://www.gutenberg.org/ebooks/6789
The Martian,Andy Weir,Science Fiction,4.7,An astronaut stranded on Mars fights for survival.,https://www.gutenberg.org/ebooks/8901
The Girl with the Dragon Tattoo,Stieg Larsson,Mystery/Thriller,4.7,A journalist and a hacker team up to solve a family mystery.,https://www.gutenberg.org/ebooks/5679
The Silent Patient,Alex Michaelides,Mystery/Thriller,4.6,"A woman accused of murder refuses to speak, revealing her secrets.",https://www.gutenberg.org/ebooks/6780
The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,Fantasy,4.9,The first part of an epic fantasy adventure to destroy a dark lord’s ring.,https://www.gutenberg.org/ebooks/5672
A Game of Thrones,George R.R. Martin,Fantasy,4.8,A battle for the Iron Throne amidst dragons and dark magic.,https://www.gutenberg.org/ebooks/5673
The Nightingale,Kristin Hannah,Historical Fiction,4.9,The lives of two sisters in Nazi-occupied France during WWII.,https://www.gutenberg.org/ebooks/4567
The Help,Kathryn Stockett,Historical Fiction,4.8,"The lives of three women in 1960s Mississippi, intertwined in the Civil Rights Movement.",https://www.gutenberg.org/ebooks/1234
Do Androids Dream of Electric Sheep?,Philip K. Dick,Science Fiction,4.5,A classic sci-fi novel exploring humanity and artificial life.,https://www.gutenberg.org/ebooks/67890
Do Androids Dream of Electric Sheep?,Philip K. Dick,Science Fiction,4.6,A classic sci-fi novel exploring humanity and artificial life.,https://www.gutenberg.org/ebooks/67890
Do Androids Dream of Electric Sheep?,Philip K. Dick,Science Fiction,4.7,A classic sci-fi novel exploring humanity and artificial life.,https://www.gutenberg.org/ebooks/67890
Do Androids Dream of Electric Sheep?,Philip K. Dick,Science Fiction,4.8,A classic sci-fi novel exploring humanity and artificial life.,https://www.gutenberg.org/ebooks/67890
The Moonstone,Wilkie Collins,Mystery/Thriller,4.5,A detective novel centered on a stolen Indian diamond.,https://www.gutenberg.org/ebooks/67891
The Moonstone,Wilkie Collins,Mystery/Thriller,4.6,A detective novel centered on a stolen Indian diamond.,https://www.gutenberg.org/ebooks/67891
The Moonstone,Wilkie Collins,Mystery/Thriller,4.7,A detective novel centered on a stolen Indian diamond.,https://www.gutenberg.org/ebooks/67891
The Moonstone,Wilkie Collins,Mystery/Thriller,4.8,A detective novel centered on a stolen Indian diamond.,https://www.gutenberg.org/ebooks/67891
The Moonstone,Wilkie Collins,Mystery/Thriller,4.9,A detective novel centered on a stolen Indian diamond.,https://www.gutenberg.org/ebooks/67891
The Moonstone,Wilkie Collins,Mystery/Thriller,4.5,A detective novel centered on a stolen Indian diamond.,https://www.gutenberg.org/ebooks/67891
Sample Book 1 for Historical Fiction,Author 1 for Historical Fiction,Historical Fiction,4.5,This is a placeholder book description for the Historical Fiction genre.,https://www.gutenberg.org/ebooks/12345
Sample Book 2 for Historical Fiction,Author 2 for Historical Fiction,Historical Fiction,4.6,This is a placeholder book description for the Historical Fiction genre.,https://www.gutenberg.org/ebooks/12345
Sample Book 3 for Historical Fiction,Author 3 for Historical Fiction,Historical Fiction,4.7,This is a placeholder book description for the Historical Fiction genre.,https://www.gutenberg.org/ebooks/12345
Sample Book 4 for Historical Fiction,Author 4 for Historical Fiction,Historical Fiction,4.8,This is a placeholder book description for the Historical Fiction genre.,https://www.gutenberg.org/ebooks/12345
Sample Book 5 for Historical Fiction,Author 5 for Historical Fiction,Historical Fiction,4.9,This is a placeholder book description for the Historical Fiction genre.,https://www.gutenberg.org/ebooks/12345
Sample Book 6 for Historical Fiction,Author 6 for Historical Fiction,Historical Fiction,4.5,This is a placeholder book description for the Historical Fiction genre.,https://www.gutenberg.org/ebooks/12345
